,[0]_stm[Pr],[1]_stm+flex[Pr],[2]_stm+flex+cumul[Pr],[3]_stm+flex+cumul+rbs[Pr],[4]_stm+flex+cumul+rbs+rc[Pr],[0]_stm[Pr.Pl.36N],[1]_stm+flex[Pr.Pl.36N],[2]_stm+flex+cumul[Pr.Pl.36N],[3]_stm+flex+cumul+rbs[Pr.Pl.36N],[4]_stm+flex+cumul+rbs+rc[Pr.Pl.36N],[5]_extended[Pr.Pl.36N]
Pr_training,0.0020924514352841372,0.0005150371485888039,3.5057465107124486e-05,0.012138030294698843,0.007116220848389365,9.72149661506716e-05,1.4654165886196502e-05,0.00016753394217350337,0.012691677274592972,0.007870238133794838,0.018224229196110553
Pl_training,0.006409558435264362,0.008871420544842357,0.007535693295419588,0.037770824362869715,0.02813960890286238,0.00196105862826057,0.002853755394897073,0.002050739020742598,0.03539854111417029,0.030615260540373,0.01867265640912885
36N_training,0.003980769718250454,0.002234915509742086,0.0016067095382240604,0.001644063984666877,0.0005696734770872514,0.00047958358132182966,1.631553654579676e-05,0.0003278382766016552,0.0004230405586974628,0.004984539814606559,0.0032577679845695595
Pr.Pl_training,0.001071728525739335,0.006276057174059657,0.008367306713828682,0.0049044174118630934,0.001805278479205752,0.002936287357997003,0.0021441443231126067,0.0008259823307910086,0.004083127260135155,0.003702488013728633,0.012125852657088432
Pr_validation,0.00581243811848231,0.006369952169097193,0.004422798813694895,0.01041699816263586,0.00520843041807284,0.0007626210546041179,0.0011209283802903203,0.001358406426416714,0.013087535273338058,0.006021140613366005,0.011321033433339567
Pl_validation,0.007850624564447073,0.010547186293209387,0.008191260426506974,0.028810759379525597,0.023784317369762165,0.002389581333328894,0.0002496102365036057,0.0005923520132853355,0.02551003329873447,0.01873216006497891,0.02570790363513875
36N_validation,0.01605158954790664,0.021974387593222233,0.012698419063293609,0.015873051699120788,0.007352613773813577,0.008843379823421982,0.0015065432661417466,0.0005059144777647129,0.0004551382346330568,0.004449281223351087,0.00531189049598102
Pr.Pl_validation,2.5629769910051614e-05,0.0016741712620415017,0.003730300484481308,0.005876020011237104,0.0024207977321895058,0.0020261149265686784,0.0005350378066333317,0.0004569613282564555,0.0062553506971264605,0.0034478092212280043,0.012101145230139276
Pr_evaluation,0.0034231261492225773,0.0007541138719446838,9.264071146097841e-06,0.005563385199667148,0.006176281949032525,0.00018651155203108782,0.0007196757253384867,5.275199444598755e-06,0.00825633736405762,0.00799011701578356,0.017693578521027042
Pl_evaluation,0.02261150363680431,0.033616030762642524,0.03233462308172852,0.040062884079322125,0.022669730877079908,0.015500860759753432,0.020091685917752566,0.017354636442455273,0.02234597163417873,0.0195427108318611,0.01396606004133516
36N_evaluation,0.001841899792750623,2.6836894321258242e-05,0.0023763448283522504,0.001754125617794533,0.0002926704894413712,0.0003599399284686111,0.001179841993958597,0.00012721414189031943,6.262134743917347e-05,0.03178228200045985,0.02263551276446596
Pr.Pl_evaluation,0.002917624512681294,0.012889190237551307,0.017885781859442895,0.0025589319804002475,0.0012365247803385326,0.009326279023822881,0.00847463426070183,0.007706563041222747,0.002059381171828467,0.0026106560483826202,0.011442287049258426
Pr_all,0.0030415088221079634,0.0012812112721933833,0.00028686420009227387,0.010290063163440055,0.0064737923687988586,0.00014612476743658398,0.0001897691307271021,5.889963003324894e-05,0.011858108971126269,0.007448472010047058,0.016557022829151946
Pl_all,0.009252368286362334,0.012951305870364416,0.011214429185973818,0.036280739442145826,0.02622212663159651,0.0035661679779950273,0.003689867195133867,0.0017715654941470316,0.030614877299945276,0.025855946646092254,0.019160820931538813
36N_all,0.0031290623339667034,0.0037929074983069633,0.002840047084837205,0.0031781777473427475,0.0010500451814664524,0.002340336680327404,0.00039070652130435146,8.595496514662848e-06,9.549802198249857e-06,0.0023138552464445628,0.0016722222881130344
Pr.Pl_all,0.0009865595819628092,0.0062144760738001015,0.008888659865451731,0.0045666564338936455,0.001788049203953146,0.0036263575136193937,0.002523346349833311,0.0006974995699247089,0.0040277443881630015,0.0033949712197870463,0.012001563539420834
