,[0]_stm[Pr],[1]_stm+flex[Pr],[2]_stm+flex+cumul[Pr],[3]_stm+flex+cumul+rbs[Pr],[4]_stm+flex+cumul+rbs+rc[Pr],[0]_stm[Pr.Pl.36N],[1]_stm+flex[Pr.Pl.36N],[2]_stm+flex+cumul[Pr.Pl.36N],[3]_stm+flex+cumul+rbs[Pr.Pl.36N],[4]_stm+flex+cumul+rbs+rc[Pr.Pl.36N],[5]_extended[Pr.Pl.36N]
Pr_training,18117.645776391502,20742.614691363302,17170.702722927865,113208.26798409279,278277.83157892217,20771.088595016874,17695.37397400548,18198.59600974626,56895.67496907727,256604.66016059677,83411.3209319117
Pl_training,4942.96128372465,9440.030927907465,7624.819777849443,10533.557394576696,25943.715497397017,4883.777955861621,4174.072688729995,4341.793297968359,5735.9565263038985,38010.231751146785,17269.398831920582
36N_training,24832.64516121662,25022.514154374236,26119.130554488,25982.351519482658,26085.600299854028,30506.603758330995,26507.95153839245,27699.7268543737,27548.420662831842,26480.552215665815,26472.94682255279
Pr.Pl_training,22681.042406646637,29515.319256423598,24126.758093894692,125057.34942895132,306195.97915286216,25592.80935881841,21819.374019998388,22531.953543039686,64000.384575714226,295642.8100988045,100831.61840439832
Pr_validation,6117.606694048312,7210.779720907405,5811.883398656373,37779.678115509945,91512.81796022516,6922.18518236029,5898.901968379683,6066.281173075127,18941.045235041947,84856.55722102869,27887.9163530841
Pl_validation,1577.3149403162688,2892.861924081576,2353.9567653548424,3555.487640239657,8144.007701436054,1627.734012557739,1401.0342526999134,1450.0960991524712,1974.4983460808805,12732.61738439353,5663.628338360268
36N_validation,8318.344897984378,8423.765469671176,8723.761471189076,8694.985415144405,8708.364517011521,10171.856849843909,8837.945152992295,9235.034645298281,9184.893111957972,9651.73675281585,8827.718770746555
Pr.Pl_validation,7592.172306568895,9965.134085308458,8019.313928034823,41482.63739498378,99755.9092571254,8534.494070557777,7288.990504656474,7515.898346047368,21160.578983763105,97609.01102728359,33562.74004993042
Pr_evaluation,6127.160160638904,7162.574955132472,5758.478813375025,38330.63823944285,93278.34146131095,6926.379477955659,5901.264292309421,6068.65302224436,19348.022908732055,85803.48476302598,27885.258170926973
Pl_evaluation,1587.684077410757,2918.8594757665683,2352.674907797845,3663.1554909524484,8740.527090959717,1619.6493111358855,1373.3029115402846,1449.6600816194796,2116.7340383651854,13099.32773848366,5981.5020146890265
36N_evaluation,8275.58268931985,8348.477506835066,8757.468091090592,8709.735428119495,8717.931276281493,10167.038290614255,8837.410836404548,9235.116286204237,9184.903705888853,8367.353863218408,8793.789252704115
Pr.Pl_evaluation,7558.01245004873,9829.025358334613,7849.257393119187,42559.66548162459,103026.75646124454,8518.331992316758,7247.043078151523,7517.043556532024,21953.22975612386,99428.06277690697,33933.68370052308
Pr_all,30370.72795849957,35131.34526573687,28751.349189483713,189313.29588716762,463037.6969731685,34619.45781397995,29495.579420513837,30333.539496653753,95176.25917907909,427240.505535145,139174.406307146
Pl_all,8105.57649802861,15245.309860981462,12328.194174756885,17749.408002027314,42802.05178057941,8131.424990957377,6949.034092871962,7241.528750581127,9823.634660843001,63829.682228816455,28906.72091559555
36N_all,41422.45521317238,41809.62723523512,43592.36240437859,43384.47530626319,43505.949424830804,50847.316872382704,44183.77743977656,46169.800012808766,45918.18939479711,44875.30246634155,44115.30717444728
Pr.Pl_all,37835.12730298749,49316.99307693937,39999.372346892385,209098.73444910743,508961.2623156874,42645.92115796555,36356.083379366,37565.23847240218,107107.65288239795,492677.48499196925,168324.21289103775
